product,brand,category,sub_category,description,text
Organic Kadha Kwath/Kasaya With Jaggery/Bella - Immunity Booster,Turn Organic ,"Foodgrains, Oil & Masala",Organic Staples,"‘Turn Organic’ Khada (Kwath/Kasaya) with Jaggery is a mix of certified organic herbs and spices that inherently help to enhance the immunity. These organic herbs and spices contain many immunity-boosting properties which increases immunity, improves digestion and helps in cough & cold.","Organic Kadha Kwath/Kasaya With Jaggery/Bella - Immunity Booster Turn Organic  Foodgrains, Oil & Masala Organic Staples ‘Turn Organic’ Khada (Kwath/Kasaya) with Jaggery is a mix of certified organic herbs and spices that inherently help to enhance the immunity. These organic herbs and spices contain many immunity-boosting properties which increases immunity, improves digestion and helps in cough & cold."
Sambhar Onion (Small Onion),Fresho,Fruits & Vegetables,Fresh Vegetables,"Onion can fill your kitchen with a thick spicy aroma. It is a common base vegetable in most Indian dishes, thanks to the wonderful flavor that it adds to any dish.Also known as button onions, Sambar Onions are relatively smaller onions with a mild flavour and slightly sweet taste.","Sambhar Onion (Small Onion) Fresho Fruits & Vegetables Fresh Vegetables Onion can fill your kitchen with a thick spicy aroma. It is a common base vegetable in most Indian dishes, thanks to the wonderful flavor that it adds to any dish.Also known as button onions, Sambar Onions are relatively smaller onions with a mild flavour and slightly sweet taste."
Watermelon  - Small,Fresho,Fruits & Vegetables,Fresh Fruits,"With greenish black to smooth dark green surface, Fresho watermelons are globular in shape and are freshly picked for you directly from our farmers The juicy, sweet and grainy textured flesh is filled with 12-14% of sugar content, making it a healthy alternative to sugary carbonated drinks. Flesh colour of these watermelons are pink to red with dark brown/black seeds.
 Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1181/watermelon-mocktail/","Watermelon  - Small Fresho Fruits & Vegetables Fresh Fruits With greenish black to smooth dark green surface, Fresho watermelons are globular in shape and are freshly picked for you directly from our farmers The juicy, sweet and grainy textured flesh is filled with 12-14% of sugar content, making it a healthy alternative to sugary carbonated drinks. Flesh colour of these watermelons are pink to red with dark brown/black seeds.
 Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1181/watermelon-mocktail/"
Bar Drinkware Set - Stainless Steel,Vinayak,"Kitchen, Garden & Pets",Steel Utensils,"These exquisitely designed products have a very good finish. All products in the bar set are of export quality and made of 100% stainless steel which makes it highly durable and resistant. With peg measure, get the right measure each time without breaking into a sweat. All products are resourceful addition to any bar or restobar. The ice bucket is made up of heavy gauge stainless steel. The double walls of the ice bucket keep the temperature on the inside low and prevent the ice from melting fast.","Bar Drinkware Set - Stainless Steel Vinayak Kitchen, Garden & Pets Steel Utensils These exquisitely designed products have a very good finish. All products in the bar set are of export quality and made of 100% stainless steel which makes it highly durable and resistant. With peg measure, get the right measure each time without breaking into a sweat. All products are resourceful addition to any bar or restobar. The ice bucket is made up of heavy gauge stainless steel. The double walls of the ice bucket keep the temperature on the inside low and prevent the ice from melting fast."
Tapioca Chips Chilly,A-1 Chips,Snacks & Branded Foods,Snacks & Namkeen,A-1 Made with High Quality ingredients to make snack time better.,Tapioca Chips Chilly A-1 Chips Snacks & Branded Foods Snacks & Namkeen A-1 Made with High Quality ingredients to make snack time better.
Scrubber - Scrub Pad,Gala,Cleaning & Household,"Mops, Brushes & Scrubs",Use this for a scratchless cleaning. No more scratches on your favourite vessel.,"Scrubber - Scrub Pad Gala Cleaning & Household Mops, Brushes & Scrubs Use this for a scratchless cleaning. No more scratches on your favourite vessel."
"Nutty Spread - Choco Almond, 87% Almond, 70% Less Sugar, No Added Oil, & Preservative",Open Secret,Snacks & Branded Foods,"Spreads, Sauces, Ketchup","To be honest, we would put chocolate on anything. So, in terms of a product description, this product is as easy as it gets. With rich chocolate added to premium whole almonds, this creamy spread packs a lot of delicious flavour with every moms’ favourite source of proteins, Almonds! What do you get? Delicious, Creamy and Healthy Chocolate Almond Nutty Spread (175g) packed in an eco-friendly glass jar. Want to grab a spoon and try it already? We ensure that we match healthy to yummy so that you don’t feel guilty afterwards.
What’s in it?
• High on Protein: Contains 87% Almonds
• No Added Oil, No Preservatives and No Trans Fat
• Contains 70% less sugar than leading brands
• Handcrafted and made in India.
• Vegan","Nutty Spread - Choco Almond, 87% Almond, 70% Less Sugar, No Added Oil, & Preservative Open Secret Snacks & Branded Foods Spreads, Sauces, Ketchup To be honest, we would put chocolate on anything. So, in terms of a product description, this product is as easy as it gets. With rich chocolate added to premium whole almonds, this creamy spread packs a lot of delicious flavour with every moms’ favourite source of proteins, Almonds! What do you get? Delicious, Creamy and Healthy Chocolate Almond Nutty Spread (175g) packed in an eco-friendly glass jar. Want to grab a spoon and try it already? We ensure that we match healthy to yummy so that you don’t feel guilty afterwards.
What’s in it?
• High on Protein: Contains 87% Almonds
• No Added Oil, No Preservatives and No Trans Fat
• Contains 70% less sugar than leading brands
• Handcrafted and made in India.
• Vegan"
Deep Cleansing Charcoal Body Scrub,Fizzy Fern,Beauty & Hygiene,Bath & Hand Wash,"A deeply cleansing and purifying cream based scrub that helps to slough away dead skin cells, leaving behind a glowing and nurtured complexion. This is an Ayurvedic formulation and contains researched and useful ingredients that benefit your skin. 1. The Packaging: Specially packed for online orders, this scrub comes packed in a nice cylindrical, damage-proof tube packed with a lot of care. 2. The No's: No Sulfates, No Parabens, No EDTA and No Testing on Animals. 3. The Fizzy Fern Promise: All our products are made in small batches. We're careful of what goes into our products, and understand that only the best ingredients make the finest products. On our labels, you can read about the ingredients that go in for each 10 ml/gm that you use. We want you to be sure of what you're using when you're using something every day! We strive to bring the best of Nature and Ayurveda at your doorstep, handcrafted and boxed with a lot of love!","Deep Cleansing Charcoal Body Scrub Fizzy Fern Beauty & Hygiene Bath & Hand Wash A deeply cleansing and purifying cream based scrub that helps to slough away dead skin cells, leaving behind a glowing and nurtured complexion. This is an Ayurvedic formulation and contains researched and useful ingredients that benefit your skin. 1. The Packaging: Specially packed for online orders, this scrub comes packed in a nice cylindrical, damage-proof tube packed with a lot of care. 2. The No's: No Sulfates, No Parabens, No EDTA and No Testing on Animals. 3. The Fizzy Fern Promise: All our products are made in small batches. We're careful of what goes into our products, and understand that only the best ingredients make the finest products. On our labels, you can read about the ingredients that go in for each 10 ml/gm that you use. We want you to be sure of what you're using when you're using something every day! We strive to bring the best of Nature and Ayurveda at your doorstep, handcrafted and boxed with a lot of love!"
Peacock Brass Samay Diwali Puja Diya Oil Spll Samai S8,HAZEL,Cleaning & Household,Pooja Needs,Accentuate your pooja room with addition of this stunning Pooja accessories from Hazel. Featuring durable steel construction.,Peacock Brass Samay Diwali Puja Diya Oil Spll Samai S8 HAZEL Cleaning & Household Pooja Needs Accentuate your pooja room with addition of this stunning Pooja accessories from Hazel. Featuring durable steel construction.
Millet Cookies - Vanilla Choco Elite,Praana,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",(a) Organic Whole Grains / No Maida (b) Transfat free (c) Brown Sugar (d) No Artificial Colours or Flavours (e) Extra Dietary Fiber (f) Fiber Healthy Millets.,"Millet Cookies - Vanilla Choco Elite Praana Bakery, Cakes & Dairy Cookies, Rusk & Khari (a) Organic Whole Grains / No Maida (b) Transfat free (c) Brown Sugar (d) No Artificial Colours or Flavours (e) Extra Dietary Fiber (f) Fiber Healthy Millets."
"Deltoid Turbo Face Masks In Grey Mesh With Green Binding - 1S1007, Small",3BO,Beauty & Hygiene,Health & Medicine,"Pack of 1, 3bO Deltoid Turbo face mask in Grey mesh with Green binding comes in a unique deltoid shape, it is designed for ultimate comfort. 3bO Turbo Range comes with patented CeNSTech Protection. It is crafted in India for the world. Salient Features: -Designed on ergonomic principles, 3bO masks give you a snug fit, no leakage, zero speech distortion and zero fogging 3bO masks are highly breathable and lightweight (under 9 gms) and washable & reusable up to 30 times - Based on the concept of triboelectricity, 3bO masks offer extra protection of Electrostatic Filtration and Antiviral Triboelectric Charge -With 7- layer filtration giving BFE of 99.9% at 3 Micron. Designed for maximum protection, ideally suited for uncontrolled environments, such as malls, markets. -An India innovation - from development by Indian scientists to manufacturing in the state of the art Indian facilities.","Deltoid Turbo Face Masks In Grey Mesh With Green Binding - 1S1007, Small 3BO Beauty & Hygiene Health & Medicine Pack of 1, 3bO Deltoid Turbo face mask in Grey mesh with Green binding comes in a unique deltoid shape, it is designed for ultimate comfort. 3bO Turbo Range comes with patented CeNSTech Protection. It is crafted in India for the world. Salient Features: -Designed on ergonomic principles, 3bO masks give you a snug fit, no leakage, zero speech distortion and zero fogging 3bO masks are highly breathable and lightweight (under 9 gms) and washable & reusable up to 30 times - Based on the concept of triboelectricity, 3bO masks offer extra protection of Electrostatic Filtration and Antiviral Triboelectric Charge -With 7- layer filtration giving BFE of 99.9% at 3 Micron. Designed for maximum protection, ideally suited for uncontrolled environments, such as malls, markets. -An India innovation - from development by Indian scientists to manufacturing in the state of the art Indian facilities."
